date,location,category,channel,product_name,quantity,unit_price,revenue
2024-04-14,Austin,Apparel,Online,Cotton T-Shirt,8,20.14,161.12
2025-06-01,Seattle,Apparel,Online,Ankle Socks,3,27.02,81.06
2025-04-04,Houston,Electronics,In-Store,Portable SSD,18,155.54,2799.72
2024-08-08,Chicago,Beauty,In-Store,Facial Cleanser,11,19.56,215.16
2025-09-10,Los Angeles,Toys,Online,Puzzle 500pc,12,77.19,926.28
2025-01-22,Austin,Beauty,In-Store,Facial Cleanser,4,58.49,233.96
2025-01-05,Phoenix,Apparel,Marketplace,Graphic Hoodie,20,85.03,1700.6
2026-05-25,New York,Sports & Outdoors,In-Store,Camping Tent,10,216.9,2169.0
2024-12-29,Seattle,Sports & Outdoors,Online,Camping Tent,12,44.16,529.92
2024-06-24,Austin,Sports & Outdoors,Wholesale,Resistance Bands,3,137.92,413.76
2024-11-28,Boston,Sports & Outdoors,Online,Water Bottle,18,56.12,1010.16
2024-08-04,New York,Electronics,Marketplace,USB-C Charger,13,104.69,1360.97
2024-05-22,Atlanta,Toys,In-Store,Board Game,15,18.0,270.0
2025-08-20,Miami,Sports & Outdoors,Online,Dumbbell Set,19,99.97,1899.43
2024-04-03,Houston,Grocery,Wholesale,Almond Butter,5,13.72,68.6
2025-01-29,Chicago,Electronics,In-Store,Bluetooth Speaker,14,214.8,3007.2
2024-01-12,Boston,Grocery,In-Store,Dark Chocolate,18,21.8,392.4
2025-03-21,Phoenix,Apparel,Marketplace,Graphic Hoodie,11,17.71,194.81
2026-02-19,New York,Home & Garden,Wholesale,Area Rug,9,175.22,1576.98
2025-06-03,Los Angeles,Home & Garden,Marketplace,Candle Set,10,153.08,1530.8
2026-08-02,San Francisco,Sports & Outdoors,Marketplace,Water Bottle,18,210.23,3784.14
2026-06-18,San Francisco,Electronics,In-Store,Smart Watch,4,326.25,1305.0
2024-03-28,New York,Beauty,Online,Shampoo,19,57.03,1083.57
2026-08-27,Miami,Books,Marketplace,Cookbook,5,28.77,143.85
2026-08-09,Miami,Home & Garden,Marketplace,Cutting Board,14,173.94,2435.16
2025-06-13,Seattle,Sports & Outdoors,Wholesale,Resistance Bands,12,102.0,1224.0
2025-07-21,Houston,Books,Online,Cookbook,11,7.69,84.59
2026-07-16,Houston,Sports & Outdoors,Online,Soccer Ball,2,58.08,116.16
2024-08-07,Los Angeles,Electronics,In-Store,Laptop Stand,9,239.11,2151.99
2024-07-13,Denver,Home & Garden,In-Store,Patio Chair,16,147.27,2356.32
2026-06-03,Atlanta,Apparel,Online,Denim Jeans,14,43.77,612.78
2024-04-21,New York,Electronics,Online,Bluetooth Speaker,11,283.2,3115.2
2024-10-12,Houston,Sports & Outdoors,In-Store,Hiking Backpack,5,98.6,493.0
2025-10-29,Los Angeles,Books,Online,Self-Help Guide,18,10.23,184.14
2026-06-04,Houston,Electronics,Online,Bluetooth Speaker,16,176.26,2820.16
2026-03-13,Chicago,Grocery,Online,Organic Coffee,13,8.1,105.3
2025-05-13,Seattle,Books,In-Store,Sci-Fi Novel,18,28.84,519.12
2025-07-09,Phoenix,Home & Garden,Online,Garden Hose,2,108.46,216.92
2026-05-23,New York,Electronics,Online,Laptop Stand,16,183.45,2935.2
2024-03-10,Miami,Home & Garden,Online,Ceramic Planter,6,21.65,129.9
2025-08-31,Los Angeles,Sports & Outdoors,Wholesale,Fishing Rod,19,61.71,1172.49
2024-11-19,Los Angeles,Electronics,Online,Smart Watch,19,204.35,3882.65
2024-05-14,Atlanta,Beauty,In-Store,Shampoo,8,18.87,150.96
2025-09-28,San Francisco,Beauty,Wholesale,Makeup Brush Set,3,4.52,13.56
2024-12-23,Miami,Apparel,Online,Denim Jeans,9,19.52,175.68
2025-12-21,San Francisco,Apparel,Online,Wool Sweater,15,80.54,1208.1
2025-11-10,Atlanta,Beauty,In-Store,Face Mask,18,20.77,373.86
2024-06-08,Phoenix,Apparel,Online,Running Shoes,4,72.59,290.36
2025-10-11,Denver,Beauty,Online,Hair Dryer,11,15.4,169.4
2025-03-09,Boston,Beauty,Online,Perfume,2,9.17,18.34
2024-09-25,New York,Beauty,Online,Facial Cleanser,5,39.68,198.4
2024-03-18,Miami,Home & Garden,In-Store,Area Rug,18,11.64,209.52
2025-03-16,New York,Home & Garden,Marketplace,Candle Set,19,103.93,1974.67
2024-08-03,Phoenix,Home & Garden,Online,Ceramic Planter,2,162.82,325.64
2026-02-06,San Francisco,Sports & Outdoors,Marketplace,Camping Tent,14,214.51,3003.14
2024-01-26,Chicago,Home & Garden,Wholesale,Garden Hose,6,159.84,959.04
2026-03-17,Seattle,Home & Garden,Marketplace,Wall Clock,8,55.36,442.88
2026-07-29,New York,Apparel,Marketplace,Baseball Cap,8,25.36,202.88
2025-11-06,Phoenix,Books,Marketplace,Biography,8,14.36,114.88
2024-10-12,San Francisco,Sports & Outdoors,Online,Fishing Rod,3,213.05,639.15
2024-01-29,Seattle,Toys,In-Store,Play Kitchen,18,33.82,608.76
